"","subject","activity","mean"
"1","1",1,0.277330758736842
"2","1",2,0.255461689622641
"3","1",3,0.289188320408163
"4","1",4,0.261237565425532
"5","1",5,0.278917629056604
"6","1",6,0.22159824394
"7","10",1,0.278574076603774
"8","10",2,0.267121853404255
"9","10",3,0.290401594315789
"10","10",4,0.270612056481481
"11","10",5,0.276650300681818
"12","10",6,0.280230574137931
"13","11",1,0.271821892881356
"14","11",2,0.263775859277778
"15","11",3,0.291605631956522
"16","11",4,0.276590197358491
"17","11",5,0.277715562765957
"18","11",6,0.280592970877193
"19","12",1,0.2771286656
"20","12",2,0.272970338653846
"21","12",3,0.281521097391304
"22","12",4,0.275007224901961
"23","12",5,0.277405834918033
"24","12",6,0.260113433
"25","13",1,0.275883130350877
"26","13",2,0.258203939581818
"27","13",3,0.294907553404255
"28","13",4,0.274328499591837
"29","13",5,0.277758431052632
"30","13",6,0.276716360483871
"31","14",1,0.271959598644068
"32","14",2,0.26242106612963
"33","14",3,0.293422115555555
"34","14",4,0.279990577037037
"35","14",5,0.280545613833333
"36","14",6,0.233275439803922
"37","15",1,0.273899207962963
"38","15",2,0.270187595833333
"39","15",3,0.280198851190476
"40","15",4,0.27290337979661
"41","15",5,0.278915803962264
"42","15",6,0.2894756525
"43","16",1,0.276023564509804
"44","16",2,0.255986102627451
"45","16",3,0.295586802191489
"46","16",4,0.280768574492754
"47","16",5,0.283497402948718
"48","16",6,0.274227162571429
"49","17",1,0.272341855245902
"50","17",2,0.252604768583333
"51","17",3,0.293918283260869
"52","17",4,0.2773570196875
"53","17",5,0.277942503333333
"54","17",6,0.269780085577465
"55","18",1,0.273887758571429
"56","18",2,0.265401201896552
"57","18",3,0.288439468909091
"58","18",4,0.27727001877193
"59","18",5,0.278458805890411
"60","18",6,0.274691576923077
"61","19",1,0.273931172307692
"62","19",2,0.242118808925
"63","19",3,0.262688053871795
"64","19",4,0.273830316164384
"65","19",5,0.27817226
"66","19",6,0.272653733493976
"67","2",1,0.276426586440678
"68","2",2,0.247164790395833
"69","2",3,0.27761534806383
"70","2",4,0.27708735173913
"71","2",5,0.277911472222222
"72","2",6,0.281373403958333
"73","20",1,0.272589336470588
"74","20",2,0.252098317156863
"75","20",3,0.296144421355556
"76","20",4,0.278045439090909
"77","20",5,0.278076904657534
"78","20",6,0.239507882205882
"79","21",1,0.279183526730769
"80","21",2,0.265194544680851
"81","21",3,0.3014610196
"82","21",4,0.27753961682353
"83","21",5,0.27695224258427
"84","21",6,0.271325472455556
"85","22",1,0.27886459
"86","22",2,0.248391534566667
"87","22",3,0.284458963861111
"88","22",4,0.273583822709678
"89","22",5,0.279053861587301
"90","22",6,0.279959721194444
"91","23",1,0.273211884237288
"92","23",2,0.249995171031373
"93","23",3,0.289897411148148
"94","23",4,0.273351251617647
"95","23",5,0.277899323235294
"96","23",6,0.274038007986111
"97","24",1,0.276980816034483
"98","24",2,0.269881106779661
"99","24",3,0.288631208909091
"100","24",4,0.273475690147059
"101","24",5,0.280348883913043
"102","24",6,0.272850494930556
"103","25",1,0.278992759054054
"104","25",2,0.277995411384615
"105","25",3,0.291329666206897
"106","25",4,0.278541482461538
"107","25",5,0.278013701621622
"108","25",6,0.250791828613699
"109","26",1,0.279264443728814
"110","26",2,0.272691394545455
"111","26",3,0.2792845828
"112","26",4,0.258243530166667
"113","26",5,0.281127035405405
"114","26",6,0.271645864540789
"115","27",1,0.276849485438596
"116","27",2,0.265770253921569
"117","27",3,0.2975441875
"118","27",4,0.273941302571429
"119","27",5,0.279566921625
"120","27",6,0.274102492432432
"121","28",1,0.281228223888889
"122","28",2,0.262005841764706
"123","28",3,0.293642076521739
"124","28",4,0.276977629444444
"125","28",5,0.277795069113924
"126","28",6,0.2759134825
"127","29",1,0.271999916792453
"128","29",2,0.265423066877551
"129","29",3,0.293140441083333
"130","29",4,0.2771799775
"131","29",5,0.277965065846154
"132","29",6,0.287295196811594
"133","3",1,0.275567462068966
"134","3",2,0.260819873067797
"135","3",3,0.292423484693878
"136","3",4,0.257197599134615
"137","3",5,0.280046513278688
"138","3",6,0.275516852741936
"139","30",1,0.276406758
"140","30",2,0.271415642261539
"141","30",3,0.283190646967742
"142","30",4,0.268336081379032
"143","30",5,0.277112699152542
"144","30",6,0.281033900571429
"145","4",1,0.278582015166667
"146","4",2,0.270876696730769
"147","4",3,0.279965329555556
"148","4",4,0.27153827992
"149","4",5,0.280499745892857
"150","4",6,0.263559214981481
"151","5",1,0.27784234625
"152","5",2,0.268459469914894
"153","5",3,0.29354392712766
"154","5",4,0.273694139545455
"155","5",5,0.282544390892857
"156","5",6,0.278334325576923
"157","6",1,0.283658868070175
"158","6",2,0.268229355098039
"159","6",3,0.277045258145833
"160","6",4,0.276778487454545
"161","6",5,0.280346248596491
"162","6",6,0.248656520140351
"163","7",1,0.275592961754386
"164","7",2,0.248706923078431
"165","7",3,0.28030708
"166","7",4,0.284674637291667
"167","7",5,0.282723539433962
"168","7",6,0.250176694038462
